ID	e4	e6	e10	e14	eN	mN	latN	adult
CD00546	1736	92	18	40	3	0	2	9
CD00547	169	2	0	0	0	0	0	1
CD00548	147	101	31	33	107	706	422	277
CD00549	1	3	6	16	30	16	7	3
CD00550	143	41	10	86	142	194	121	107
CD00551	27	15	9	9	53	210	107	51
CD00552	2301	2164	4250	1979	1259	668	623	3747
CD00553	1	0	0	1	6	4	5	0
CD00554	2	5	1	1	33	47	23	2
CD00555	3	1	1	29	41	47	16	3
CD00556	301	276	255	346	136	307	158	155
CD00557	191	2	0	0	0	0	0	1
CD00558	3	3	3	2	0	0	2	6
CD00559	795	2	0	1	0	0	0	2
CD00560	251	154	161	175	169	206	185	179
CD00561	383	2	0	0	0	0	0	1
CD00562	41	62	3	5	0	4	0	3
CD00563	36	15	27	149	121	74	104	172
CD00564	255	33	41	153	290	144	130	318
CD00565	108	81	175	294	587	691	165	444
CD00566	480	644	758	488	252	252	292	1115
CD00567	595	693	737	365	637	784	658	275
CD00568	1058	1659	1056	829	107	47	90	1073
CD00569	0	0	0	11	0	0	0	2
CD00570	3	2	0	56	225	264	178	2
CD00571	379	92	20	40	293	241	477	1652
CD00574	11	3	5	10	3	8	5	68
CD00576	1389	145	201	155	98	58	97	40
CD00577	1658	1	297	1171	7397	23316	8380	21000
CD00578	567	264	172	242	355	229	287	191
CD00579	9645	3903	1811	2812	338	291	253	5770
CD00581	10	62	149	334	273	737	30	56
CD00582	6	3	1	50	41	16	2	4
CD00583	8	5	0	1	6	19	7	2
CD00584	2	0	0	6	47	19	5	1
CD00585	5	0	0	14	3	0	0	0
CD00587	0	1	0	116	62	47	5	1
CD00588	2	2	0	1	0	0	0	8
CD00589	5	5	0	2	3	4	0	7
CD00591	13	1	0	1	3531	671	445	44
CD00592	3	1	0	27	601	675	46	57
CD00593	41	57	617	275	267	163	188	386
CD00594	1	1	0	439	2248	225	63	2
CD00595	425	564	463	555	1641	2209	1840	520
CD00596	128	14	4	6	163	272	667	6675
CD00597	346	357	548	683	347	299	461	2247
CD00598	0	0	0	0	12	8	7	0
CD00599	31	9	24	46	24	16	39	9
CD00600	150	27	1	10	0	0	0	4
CD00601	361	1337	277	1491	3884	1296	888	1851
CD00602	174	917	150	758	430	186	169	722
CD00603	4	18	28	80	12	19	5	3
CD00604	68	104	109	157	637	1036	605	109
CD00605	187	5	0	5	0	0	0	0
CD00607	204	10	0	5	0	0	0	0
CD00608	17	1	0	0	0	0	0	0
CD00609	6	0	0	0	0	0	0	0
CD00610	1056	377	21	25	3	4	2	7
CD00611	890	45	0	22	0	0	0	0
CD00612	14	25	6	7	12	16	12	2
CD00613	32	195	62	1	15	8	19	171
CD00614	1434	678	139	2597	6627	4553	4581	2560
CD00615	3195	1627	2438	1415	379	571	357	32
CD00617	461	568	399	327	234	233	253	311
CD00618	1044	972	798	471	1007	1153	1038	413
CD00619	265	2612	636	359	412	928	667	468
CD00620	41	3	0	2	0	0	0	0
CD00621	670	472	409	565	4047	3967	3502	1369
CD00622	133	6	0	2	0	0	0	0
CD00624	723	432	325	253	296	330	389	259
CD00625	135	185	225	121	15	12	30	94
CD00626	12	11	174	55	3	4	2	25
CD00627	694	945	464	842	41	31	39	1019
CD00628	50	5	0	1	0	0	0	0
CD00629	5180	6652	5165	3497	2628	2139	2118	6384
CD00630	693	522	465	273	379	283	406	526
CD00631	551	537	784	368	397	349	380	620
CD00633	556	912	552	738	136	109	116	1043
CD00634	360	16	0	7	0	0	0	0
CD00635	243	388	90	116	104	147	139	170
CD00636	74	3	0	2	0	0	0	1
CD00637	561	34	0	10	0	4	0	0
CD00638	96	6	0	2	0	0	0	0
CD00639	1948	2197	1056	1142	507	493	535	900
CD00640	64	7	0	0	0	0	0	0
CD00641	5343	8239	4894	5884	4165	4669	4843	2885
CD00642	953	1689	928	680	912	889	999	381
CD00643	637	601	447	597	521	450	545	1519
CD00644	739	601	1038	1898	3567	2360	1184	769
CD00645	3	4	0	1	62	202	32	9
CD00647	32	30	7	6	6	8	7	13
CD00648	1607	1586	1380	672	187	128	236	1263
CD00649	171	15	0	3	0	0	0	0
CD00650	959	877	304	467	364	574	749	1583
CD00651	502	73	2	12	0	0	0	0
CD00652	63	25	4	8	3	23	14	2356
CD00653	12	37	5	10	3	12	2	1
CD00654	2	19	19	5	0	0	0	13
CD00655	519	559	803	1528	2559	2678	2711	2105
CD00656	822	1395	646	462	468	543	1075	621
CD00658	1864	8459	2220	1191	492	388	709	888
CD00660	215	197	436	333	130	74	72	1291
CD00662	1	0	0	2	3	8	0	1
CD00663	0	1	4	138	15	8	30	157
CD00665	9	3	23	26	0	0	0	26
CD00666	774	624	437	302	160	113	160	423
CD00667	4	25	0	0	0	0	0	0
CD00668	965	481	708	1214	930	582	869	4763
CD00670	612	497	883	537	101	50	93	764
CD00671	211	47	170	326	193	89	90	1033
CD00672	172	141	257	191	160	105	165	220
CD00673	243	122	1064	1338	163	85	137	1105
CD00674	33	299	1093	202	3	0	0	468
CD00675	25	0	1	10	0	0	0	0
CD00676	34	5	1	1	0	0	0	0
CD00677	2273	6041	1798	895	1250	1219	869	1072
CD00678	133	54	93	325	216	82	366	750
CD00679	10	239	289	8	77	39	79	69
CD00680	468	744	1073	695	305	210	211	785
CD00681	830	421	428	339	465	567	519	215
CD00682	418	353	637	436	515	279	410	516
CD00683	1104	2053	1008	1541	1777	1172	1773	2790
CD00684	64	36	33	38	6	8	12	25
CD00686	560	702	874	897	12	16	9	1348
CD00687	2872	3982	3430	3359	3342	2833	3719	3137
CD00689	32	7	1	1	3	4	5	1
