ID	e4	e6	e10	e14	eN	mN	latN	adult
CD00690	1	1	17	13	12	50	14	11
CD00691	28	0	0	40	21	8	12	1
CD00692	976	773	715	502	290	233	301	737
CD00693	4972	5241	6880	10432	5839	6699	5793	9584
CD00694	61	90	56	52	3	4	9	106
CD00695	171	394	407	348	6	8	7	752
CD00696	2171	3204	1890	3280	1164	939	1847	7998
CD00697	140	249	405	355	273	245	236	297
CD00704	0	0	0	1	62	128	30	0
CD00705	527	635	297	200	255	194	236	196
CD00706	0	0	0	2	0	4	7	0
CD00707	1	0	0	5	3	4	9	0
CD00709	7	3	7	16	0	0	0	74
CD00710	7	9	18	50	0	0	0	114
CD00711	46	116	71	89	157	167	324	282
CD00712	2558	6125	7606	2357	2311	1545	1326	271
CD00713	22	55	92	47	21	78	32	74
CD00714	2467	1278	784	1131	1600	2197	1951	1538
CD00715	2366	1432	1813	1068	273	217	287	1307
CD00716	1084	2307	998	694	296	307	450	1341
CD00717	3984	7186	11410	3702	2112	1459	1532	5441
CD00718	571	133	270	182	246	202	234	94
CD00719	8504	4066	3404	2123	1061	807	971	4068
CD00720	664	679	439	463	581	532	772	564
CD00721	3645	2514	1235	1271	939	769	1098	2428
CD00722	1171	3119	5187	6513	4971	2306	3386	5739
CD00723	1051	147	129	522	1078	1999	2531	1038
CD00724	1597	9617	3557	3157	427	365	531	245
CD00725	83	3	54	94	36	19	21	34
CD00726	26	0	0	25	47	54	42	0
CD00727	46	49	1108	512	95	85	127	780
CD00728	1618	1913	1896	3260	2568	8547	6055	4466
CD00729	225	164	226	136	124	120	125	116
CD00730	1605	2506	1694	3365	13763	14742	14764	2059
CD00731	1	3	2	3	3	4	7	1
CD00732	109	187	3	2	0	0	0	1
CD00733	449	319	408	185	113	62	104	168
CD00734	92	531	195	807	154	97	202	712
CD00735	82	106	1	1	3	12	2	1
CD00736	402	572	1874	1346	1185	769	1145	1576
CD00737	1714	1918	5693	2386	2660	1894	1516	360
CD00738	118	42	79	50	53	78	56	44
CD00739	1	0	3	8	15	16	9	1
CD00740	22	18	343	134	148	105	271	73
CD00741	859	2411	819	722	758	1172	832	760
CD00742	471	492	401	240	385	609	396	340
CD00743	212	226	388	187	545	1025	707	368
CD00744	34	1	1	2	3	0	2	359
CD00745	394	1079	1092	1002	749	788	681	1114
CD00746	1	1	0	2	0	0	0	16
CD00747	89	7	59	393	12	58	21	948
CD00748	10	13	4	2	0	0	0	1
CD00749	2	5	4	69	9	8	7	6
CD00750	37	45	45	42	6	12	7	33
CD00751	382	450	243	203	533	594	355	117
CD00752	160	82	90	101	92	136	104	189
CD00753	25	2372	1299	557	0	0	0	2
CD00754	17	8	18	16	12	12	9	12
CD00755	6	0	0	4	0	0	0	25
CD00756	8	2	3	42	3	8	2	54
CD00757	1	4	7	97	3	4	5	1
CD00758	702	994	758	460	889	706	394	102
CD00759	0	0	0	0	0	0	30	1
CD00760	12	14	121	55	83	43	83	63
CD00761	13	0	8	7	21	8	7	311
CD00762	300	40	388	4349	906	353	950	9912
CD00763	74	1	35	274	139	43	21	12
CD00764	4	5	17	83	489	233	1156	31
CD00765	3629	2659	1580	5733	2080	1638	1629	4491
CD00766	4299	8646	10594	4497	3590	2492	2653	5143
CD00767	0	1	4	0	12	12	30	15
CD00768	238	332	445	441	693	609	860	723
CD00769	4	7	0	0	0	0	0	2
CD00770	19	7	3	14	18	35	42	21
CD00771	4	0	19	375	98	66	67	20
CD00772	67	20	2	2	6	27	0	0
CD00773	6	5	0	0	53	318	25	0
CD00774	48	15	1	0	62	264	197	0
CD00775	121	41	473	586	74	89	58	299
CD00776	891	1740	1241	1346	3789	2096	8614	11194
CD00777	3177	3107	2753	1392	1117	606	514	84
CD00778	1087	1313	1086	790	1087	1040	992	384
CD00779	662	1086	1569	642	178	85	107	435
CD00781	1	0	6	103	711	959	556	270
CD00782	40	8	2	5	3	4	7	5
CD00783	0	1	4	36	50	43	37	8
CD00784	238	176	199	161	213	225	262	581
CD00785	1171	1148	1380	1112	1182	1001	1145	1040
CD00786	75	12	130	128	169	206	195	211
CD00787	2123	3246	4004	2885	3241	2608	2704	1582
CD00788	117	1	64	134	18	27	14	1
CD00789	4	4	7	13	0	0	2	3
CD00790	425028	68340	1039	366	186910	603135	308390	125095
CD00791	403	587	882	1224	388	404	350	294
CD00792	146	30	127	696	71	47	46	1081
CD00794	426	649	359	327	613	563	482	145
CD00795	162	500	618	269	400	353	320	309
CD00796	10784	17528	12350	25464	7788	4208	8058	59935
CD00797	1153	1279	1245	977	975	873	855	872
CD00798	2425	2064	1585	6159	4008	1754	2714	6992
CD00799	1184	2382	3177	1746	889	1071	677	537
CD00800	840	688	408	478	492	691	593	388
CD00801	1123	1046	2315	1305	797	555	793	2449
CD00802	2	1	1	51	15	392	5	3
CD00803	777	63	17	97	0	0	0	0
CD00804	102	42	47	30	9	4	2	46
CD00805	73	113	186	64	98	62	86	80
CD00806	702	53	404	362	880	582	964	3402
CD00807	2327	1225	842	747	578	528	702	1078
CD00808	1	3	0	407	2515	8217	1861	6
CD00809	12	11	0	6	116	78	125	3
CD00810	126	17	11	19	9	12	7	10
CD00811	1634	3451	5393	2673	44	27	37	4272
CD00812	2039	1638	1105	1243	305	202	359	2542
CD00813	26	7	0	94	850	283	132	75
CD00814	55	16	8	13	3	8	0	256
CD00815	244	11	3	62	0	0	0	0
CD00816	1	0	18	22	3	4	5	2
CD00817	2262	3224	1856	1314	1280	617	996	1570
CD00818	328	493	23	0	0	0	0	1
CD00820	29	1	1	0	0	0	0	0
CD00821	381	450	436	392	1840	1320	2424	459
CD00822	2	0	0	6	0	8	5	4
CD00823	3274	15255	4840	7477	5670	3614	5223	15237
CD00825	3	4	0	1	53	23	32	0
CD00826	1117	178	0	1	0	4	0	0
CD00827	48	15	9	11	0	4	2	88
CD00828	117	237	27	23	9	8	12	1
CD00829	209	127	103	139	18	31	14	733
CD00830	18	18	14	12	77	58	102	25
CD00831	0	0	1	2	3	4	23	3
CD00832	5	4	0	64	1117	4324	46	3
CD00833	9	1	1	1	113	113	58	3
CD00834	2243	1610	1653	1094	554	528	758	2254
CD00835	2	1	0	97	6	2135	0	1
CD00836	7	430	6	2	3	0	0	1
CD00837	42	75	119	50	154	151	148	54
CD00838	2159	3527	4011	2190	2696	2243	2329	1637
CD00839	7	1	28	168	0	4	0	64
CD00840	951	561	420	398	361	734	343	311
CD00841	23	152	274	200	62	54	35	124
CD00842	2285	619	540	445	545	582	672	328
CD00843	338	533	923	288	6	4	0	494
CD00844	200	138	1	2	0	0	0	0
CD00845	81	156	274	84	0	0	2	129
CD00846	3328	3760	1433	3505	2260	990	1207	4204
CD00847	40	7	2	7	92	101	72	2
CD00848	1456	1993	2166	977	992	598	744	933
CD00849	5584	14282	19417	9987	9195	8683	7703	1871
CD00850	35	3	26	151	755	668	436	405
CD00851	47	3	1	30	735	524	2415	6
CD00852	2773	15	9	1	0	0	2	2
CD00853	936	962	474	293	637	555	322	295
CD00854	9696	16525	9394	9353	26015	35120	26729	2180
CD00855	340	245	205	176	210	264	206	156
CD00856	65	7	7	25	2337	3913	107	1
CD00858	3	2	0	129	1120	377	209	28
CD00859	2430	3520	1294	1420	1369	1393	1578	1946
CD00860	491	3297	911	394	510	524	475	367
CD00861	1305	1120	1099	787	687	769	704	362
CD00862	127	162	182	54	33	31	42	69
CD00863	759	648	327	364	634	617	1726	2287
CD00864	7479	5916	2593	7237	0	0	0	0
CD00865	0	0	0	1	6	2115	0	0
CD00866	17	31	21	52	15	12	9	4
CD00867	5	8	23	52	33	19	25	9
CD00868	80	25	17	17	0	0	0	0
CD00869	357	312	1060	1283	0	0	0	0
CD00870	3	1	1	59	130	26573	39	11
CD00871	184	10	0	6	3	4	0	1
CD00872	5	1	0	2	53	101	60	1
CD00873	38	55	690	1297	690	291	408	1513
CD00874	463	526	247	240	255	287	283	692
CD00875	31	2	0	47	33	1324	7	2
CD00876	691	1048	880	565	252	179	308	1472
CD00877	2195	4090	32	58	30	27	28	463
CD00878	780	575	1344	2400	1697	970	1286	4234
CD00879	14	87	9	8	0	0	0	0
CD00880	112	36	12	17	24	82	23	59
CD00881	984	308	103	173	0	4	0	0
CD00882	942	1130	786	917	1487	1723	1963	1354
CD00883	2	4	5	28	6	12	90	16
CD00885	555	12	7	7	0	4	0	2
CD00886	38	8	11	169	2808	1036	723	16
CD00888	164	95	93	53	98	171	95	56
CD00889	21	38	3	11	65	35	14	6
CD00890	388	56	14	31	0	0	0	9
CD00891	56	3	1	9	0	0	0	0
CD00892	1	0	0	2	693	1145	334	1
CD00893	3465	7705	8457	9762	8022	5706	7353	11299
CD00894	509	198	46	109	0	0	0	0
CD00895	9	12	18	17	9	19	2	3
CD00896	782	83	3	1	0	0	0	0
CD00897	3	85	1	0	0	0	0	5
CD00898	0	0	0	125	210	1634	93	15
CD00899	23	2	11	57	15	1607	2	16
CD00900	18	3	0	860	5157	1545	911	57
CD00901	427	317	522	396	36	19	51	222
CD00902	0	1	4	305	388	51045	32	3
CD00903	0	1	24	10	24	54	95	1
CD00904	7	20	18	57	228	435	558	83
CD00905	141	361	262	245	287	210	148	6
CD00906	4606	3588	8138	3088	758	353	693	1376
CD00907	11	2	0	1	0	0	0	1150
CD00908	341	235	48	52	0	0	0	0
CD00909	0	0	0	138	1333	9564	1200	0
CD00910	3341	3573	6218	2830	2805	1688	1815	3593
CD00911	353	327	496	307	438	508	572	424
CD00912	1830	5152	3612	3747	909	699	1543	4625
CD00913	2062	4246	2517	1105	841	613	913	1023
CD00914	586	410	310	218	388	357	334	179
CD00915	522	530	672	614	791	547	779	511
CD00916	539	610	625	865	1072	2212	1576	817
CD00917	53	3	5	33	646	800	1710	3402
CD00919	998	1153	590	883	865	477	600	2155
CD00920	3828	2728	2889	1199	1446	1098	1518	1187
CD00921	0	1	13	1	0	0	0	1
CD00922	1	2	1	2	0	0	0	33
CD00923	66	109	5	2	0	0	0	3
CD00925	10	3	66	221	18	19	12	144
CD00926	6	7	3	11	3	0	0	124
CD00927	2	2	2	7	15	27	12	1117
CD00928	203	187	476	520	110	74	74	578
CD00930	101	71	76	266	201	349	255	93
CD00931	993	204	231	748	714	578	521	2401
CD00932	2	30	6	2	0	0	0	3
CD00933	8	3	144	108	201	718	81	15
CD00934	7	32	17	221	3	31	0	47
CD00935	1003	1143	1556	831	471	311	700	242
CD00936	27	74	116	41	0	0	0	58
CD00937	11	1	11	45	0	0	0	508
CD00938	39	24	35	134	228	206	183	509
CD00939	14	7	12	20	3	4	9	9
CD00940	12	7	0	1	0	0	0	220
CD00941	47	9	79	69	36	31	25	12
CD00942	981	709	780	1605	477	167	447	3117
CD00943	2	2	0	0	0	0	63	5
CD00944	8	10	69	518	44	171	56	169
CD00945	30	3	139	789	344	93	74	1162
CD00946	13	5	370	322	62	35	51	747
CD00947	0	0	0	9	9	16	0	1
CD00948	47	9	6	11	6	4	2	3
CD00949	299	74	89	167	127	140	93	140
CD00950	539	537	1118	560	998	1716	1768	2076
CD00951	46	80	119	77	98	82	97	78
CD00952	281	194	395	415	560	520	670	646
CD00953	116	15	20	76	77	54	30	5
CD00955	42	56	99	74	225	353	218	89
CD00957	216	214	249	235	172	151	197	263
CD00958	3	15	14	17	9	4	19	6
CD00959	13	298	123	95	3	4	7	9
CD00960	446	364	296	206	222	241	287	180
CD00961	597	929	639	738	456	248	396	1590
CD00962	13	18	18	44	71	116	104	30
CD00963	33	37	38	35	47	78	95	59
CD00964	1405	934	1163	742	877	699	793	497
CD00965	96	93	120	62	0	0	0	122
CD00966	59	45	85	87	160	272	243	83
CD00967	5254	2030	3836	4090	3807	4417	4672	6380
CD00968	17	4	17	91	18	19	28	17
CD00970	42	24	31	28	0	0	0	5
CD00971	1104	938	1145	1195	187	120	86	317
CD00972	69	28	23	101	210	349	260	128
CD00973	203	1	6	44	3	4	0	14
CD00974	116	9	247	129	21	12	14	206
CD00975	58	0	8	80	6	0	9	14
CD00976	122	5	0	2	0	0	0	0
CD00978	424	18	2	16	0	0	0	0
CD00980	958	34	0	22	0	0	0	0
CD00981	0	10	0	0	0	0	0	0
CD00982	397	25	1	15	0	0	0	0
CD00983	203	10	0	7	0	0	0	0
CD00984	691	55	1	19	0	0	0	1
CD00985	0	8	1	0	0	0	0	0
CD00986	394	20	0	10	0	0	0	0
CD00987	280	5	1	26	0	0	0	0
CD00988	1124	4	0	0	0	4	0	0
CD00989	27	0	0	36	56	47	9	0
CD00990	26	4	0	1	0	0	0	0
CD00991	100	63	9	5	0	0	0	1
CD00992	130	3	0	1	0	0	0	0
CD00993	107	61	93	339	15	19	21	909
CD00994	14821	46693	3052	775	435	1370	1052	799
CD00995	1782	98	2	57	9	8	2	1
CD00996	7	4	14	15	0	0	0	18
CD00997	396	81	491	535	71	50	46	594
CD00998	489	2	0	0	0	0	0	0
CD00999	11	6	319	485	711	307	195	74
CD01000	1253	2967	2713	1020	1540	1258	1235	680
CD01001	8	3	354	432	89	78	35	81
CD01002	0	0	0	7	80	190	32	0
CD01003	286	390	389	418	566	594	345	497
CD01004	106	58	19	32	898	1844	1282	188
CD01005	870	502	41	68	154	345	213	79
CD01006	653	69	12	27	21	19	74	369
CD01007	47	13	2	6	3	4	2	104
CD01008	11	1	119	319	213	97	216	618
CD01009	1284	1417	743	652	382	248	304	538
CD01010	739	392	44	36	0	4	0	0
CD01011	1010	1507	111	77	0	0	2	6
CD01012	104	123	44	30	142	171	141	1015
CD01013	55	15	4	5	15	12	30	186
CD01015	0	0	0	12	3	0	0	1
CD01016	0	0	0	8	0	0	0	1
CD01017	239	216	849	1745	8434	3462	7735	5879
CD01018	40	65	310	434	385	283	357	996
CD01019	3	0	1	7	0	0	0	335
CD01020	168	115	159	1207	2551	1886	1655	1122
CD01021	1103	878	1326	1059	24	12	25	2610
CD01022	10	2	8	23	36	27	53	11
CD01023	5	3	4	3766	1383	264	202	14
CD01024	77	385	58	80	0	0	0	0
CD01026	409	548	50	155	0	0	0	0
CD01027	518	5168	406	185	0	0	0	4
CD01028	12	9	15	78	157	50	28	102
CD01029	984	571	7	18	3	4	2	1
CD01030	447	103	26	34	0	0	0	9
CD01031	63	6	2	4	0	0	0	1
CD01032	129	133	32	40	0	4	0	6
CD01033	9	7	7	7	9	23	0	3
CD01035	492	27	4	12	0	0	0	13
CD01036	660	238	19	50	0	0	0	0
CD01037	257	369	74	19	240	330	584	352
CD01038	309	1240	56	13	0	0	0	4
CD01039	575	30	2	12	0	0	0	0
CD01040	108	71	13	8	0	4	0	0
CD01041	2	1281	829	493	0	0	0	0
CD01042	747	531	26	6	0	0	0	1
CD01043	170	45	3	7	0	0	0	0
CD01044	6	2111	1596	1851	0	0	0	0
CD01045	3296	10750	368	212	0	0	0	1
CD01046	944	1091	176	120	0	0	0	0
CD01047	1017	448	846	1375	622	543	846	4085
CD01048	313	209	230	240	507	660	554	187
CD01049	203	433	264	68	6	12	2	9
CD01050	0	0	0	0	56	31	74	1
CD01051	2851	5824	859	389	95	82	127	336
CD01052	732	626	342	236	30	43	16	68
CD01053	17	13	9	13	21	31	53	502
CD01054	506	245	206	761	607	279	524	857
CD01055	3001	4724	3242	3379	4627	8892	5251	497
CD01056	237	634	1249	1246	353	489	114	148
CD01057	80	62	107	651	5729	2740	3031	3986
CD01058	270	148	168	123	175	182	192	61
CD01059	447	238	209	170	207	217	213	92
CD01060	28	45	8	45	590	1324	749	1166
CD01061	650	817	728	446	521	606	665	755
CD01062	3808	8128	2198	1720	1063	1052	1142	1406
CD01063	4911	3784	3111	2501	1543	1122	1168	1979
CD01064	3491	6530	4170	4056	767	819	1627	8030
CD01065	827	262	13	96	59	74	37	118
CD01066	351	453	246	283	483	512	445	614
CD01067	0	0	5	12	0	0	0	23
CD01068	157	80	100	126	270	334	294	107
CD01069	295	264	216	134	62	47	46	203
CD01070	2718	2686	1000	715	779	1005	1805	1317
CD01071	448	166	21	328	270	442	315	685
CD01072	79	117	67	55	74	182	97	88
CD01073	217	212	193	99	151	299	202	88
CD01074	496	32	54	669	927	609	619	1935
CD01075	10	8	30	3	3	12	130	109
CD01076	797	526	64	55	6	8	5	112
CD01077	246	298	253	241	275	474	406	431
CD01078	233	133	161	124	207	245	271	142
CD01080	14	10	9	38	2121	2465	3075	231
CD01081	47	30	53	319	33	31	21	51
CD01082	407	303	343	281	296	431	419	217
CD01083	26	15	11	226	901	598	1798	285
CD01084	939	1150	4008	2990	723	318	533	5729
CD01085	839	738	572	692	1508	1657	3446	2136
CD01086	240	223	103	190	261	505	399	268
CD01087	93	53	39	917	373	373	540	943
CD01088	761	454	503	296	101	58	72	214
CD01089	476	275	488	2720	3291	7185	4656	212
CD01090	2115	1772	1231	1000	788	1013	999	2425
CD01091	2	18	98	705	2853	4285	227	32
CD01092	1229	1431	1018	1008	909	959	1098	1109
CD01093	147	38	45	43	62	50	97	103
CD01094	3	0	5	39	53	54	79	309
CD01095	0	1	0	74	441	691	227	0
CD01096	46870	197989	64904	46149	114146	108033	97297	27899
CD01097	3	0	2	4	98	101	25	0
CD01098	33	130	3	2	0	0	0	3
CD01099	3	1	4	7	6	0	5	7
CD01100	3	2	5	676	2722	3140	1307	1
CD01101	324	70	121	394	2687	419	723	100
CD01102	10	1	38	82	118	62	104	81
CD01103	1	0	0	54	145	295	88	1
CD01104	7	1	10	36	3	0	0	3
CD01105	1132	1365	269	523	969	1665	1798	917
CD01106	7	3	1	10	15	4	12	30
CD01107	1	2	1	116	338	512	141	0
CD01108	1	1	0	251	530	1032	222	0
CD01109	2	1	0	27	83	155	39	1
CD01110	1611	1950	2372	4284	850	578	869	2599
CD01111	14	32	5	363	826	904	357	20
CD01112	536	713	128	230	74	101	134	465
CD01113	5	3	2	84	56	27	39	18
CD01114	0	1	0	2	6	12	5	0
CD01115	0	0	0	12	53	47	9	0
CD01116	2383	4411	2943	1607	1674	1440	1328	1159
CD01117	2	7	1	37	9	8	0	0
CD01122	403	642	0	12	0	0	0	1
CD01123	12	7	140	204	124	66	139	117
CD01124	940	1116	990	731	1146	1560	1550	446
CD01125	281	317	322	298	160	109	165	735
CD01127	85	46	0	2	0	0	0	2
CD01128	374	177	204	229	284	283	317	168
CD01129	13	6	44	126	36	16	19	253
CD01130	1834	2511	3353	2287	3081	2096	2593	2858
CD01131	16875	15426	9876	4417	6470	6552	5205	2852
CD01133	5	1	195	157	27	19	32	187
CD01134	1667	2056	512	529	829	726	793	1248
CD01135	162	272	323	275	163	113	171	167
CD01136	25	29	66	42	27	23	14	52
CD01137	8792	4378	4173	5800	3730	3094	5863	29060
CD01138	16	16	335	145	12	8	7	46
CD01139	649	735	562	278	409	388	470	182
CD01140	1597	1498	1547	1736	2189	1976	2181	4000
CD01141	146	113	301	1439	1997	1161	1214	6183
CD01142	120	80	416	367	160	159	160	187
CD01143	193	500	409	1220	1330	722	793	2589
CD01144	142	202	67	229	101	43	83	894
CD01145	217	213	194	207	358	571	436	181
CD01146	685	689	639	536	782	718	906	516
CD01147	1741	2056	2116	1434	1250	1351	1717	7191
CD01148	767	1209	750	258	3	4	5	247
CD01149	13	15	29	47	33	23	25	17
CD01150	13	4	20	111	302	431	216	134
CD01151	1132	1272	1187	1086	672	404	589	1043
CD01152	512	1023	799	978	2533	5438	2290	607
CD01153	596	272	380	211	273	439	266	196
CD01154	503	365	350	251	400	431	364	153
CD01155	19	7	52	34	3	4	2	6
CD01156	272	396	640	669	732	439	658	1253
CD01157	3359	6158	4477	3316	4678	5446	5638	2748
CD01158	121	1	914	1737	403	233	114	235
CD01159	377	358	282	249	441	361	315	78
CD01160	17	12	131	300	631	590	171	717
CD01161	130	29	6	31	261	62	58	711
CD01162	34	82	83	184	296	520	178	42
CD01163	65	68	22	61	12	0	5	344
CD01164	1594	1793	1445	791	892	656	837	419
CD01165	867	948	1528	1028	1111	780	1126	1125
CD01167	1471	7014	2994	2884	1455	1192	1872	1982
CD01168	714	1043	663	544	705	1091	878	268
CD01169	59	88	118	50	50	54	46	57
CD01170	265	452	562	233	418	536	498	220
CD01171	407	557	442	406	818	1102	983	384
CD01172	1982	2044	1944	1469	545	361	635	2288
CD01173	32	33	908	927	1052	854	1117	729
CD01174	235	186	58	596	1099	470	802	2586
CD01175	380	487	528	613	409	380	563	1281
CD01176	43	52	172	1038	305	656	317	99
CD01177	663	866	279	696	77	47	56	3930
CD01178	1058	994	1066	597	969	982	920	678
CD01179	603	277	414	539	453	551	788	1064
CD01180	345	297	207	228	400	217	674	929
CD01181	3264	4891	7786	3800	3659	3113	3108	3590
CD01182	1058	1029	1334	857	1422	1409	1842	1134
CD01183	3600	6069	6236	2404	797	617	781	3117
CD01184	1644	2853	3380	2572	2725	1851	2102	2995
CD01185	2804	14106	12393	4676	2213	1425	1485	3211
CD01186	1291	1335	1941	1569	758	660	895	1578
CD01187	9505	295233	11828	12638	130	159	114	1826
CD01188	592	765	540	298	344	264	366	171
CD01189	2116	2486	1632	1326	972	726	674	570
CD01190	1186	970	1207	1221	1692	1514	2345	2151
CD01192	647	762	675	396	450	419	371	269
CD01193	0	1	1	1	9	4	2	1
CD01194	0	0	1	2	3	12	0	0
CD01195	253	13	22	118	6	175	5	98
CD01196	553	282	416	277	581	625	658	196
CD01197	50	117	39	215	738	807	1193	130
CD01198	19	1	3	121	9	19	12	5
CD01199	1055	1030	713	662	370	470	443	1647
CD01200	142	216	320	84	311	225	220	3026
CD01201	57	112	23	218	483	489	918	203
CD01202	327	384	222	386	773	1467	802	357
CD01203	128	89	114	102	181	237	211	97
CD01204	5	1	8	10	0	0	5	3
CD01205	57	88	70	131	969	1164	1161	134
CD01206	5	1	278	141	41	23	79	205
CD01207	37	46	48	768	1046	1091	1937	1347
CD01208	25	3	5	354	0	4	0	6
CD01209	109	117	177	65	33	16	25	107
CD01210	210	56	96	141	83	50	83	5834
CD01211	100	24	201	17703	13405	3920	7754	8165
CD01212	1109	803	469	406	530	734	524	212
CD01213	99	11	33	263	89	19	14	59
CD01214	10	11	292	112	24	16	44	140
CD01215	41	106	25	82	139	66	121	0
CD01216	214	7	4	5	0	4	0	1
CD01217	4	2	27	92	110	54	28	6
CD01218	482	24	0	12	0	0	0	0
CD01219	55	19	35	62	83	62	169	16
CD01220	416	22	0	10	0	0	2	0
CD01221	0	0	4	150	15	39	178	3103
CD01222	57	3	0	3	0	0	0	0
CD01223	477	25	0	12	0	4	0	0
CD01224	1	62	0	0	0	0	0	0
CD01225	3909	415	2	7	3	4	0	0
CD01226	239	520	477	445	1475	3326	2790	725
CD01227	154	18	0	4	0	0	0	1
CD01228	260	19	8	27	12	12	2	1
CD01229	6	7	24	22	3	0	2	45
CD01232	67	145	158	136	240	396	352	91
CD01233	237	288	248	207	320	493	297	230
CD01234	133	164	153	116	124	303	107	138
CD01235	347	13	0	8	0	0	0	1
CD01236	1891	3336	2036	2385	4461	11439	4948	548
CD01237	150	1	1	90	6	4	2	1218
CD01238	0	0	3	10	0	4	0	12
CD01239	1647	1985	3602	5059	3460	2799	2813	8060
CD01240	130	164	365	444	542	501	491	447
CD01241	288	386	372	230	258	303	229	185
CD01242	381	435	234	720	92	58	74	1454
CD01243	5055	8638	5387	5446	7945	15293	8032	1300
CD01244	2138	13746	3057	4593	1117	1001	1509	2055
CD01245	13	4	21	16	6	4	5	13
CD01246	244	13	0	6	0	0	0	0
CD01247	3512	4719	2730	2715	2592	7744	2725	781
CD01248	126	129	92	81	86	120	109	51
CD01249	1	0	1	24	0	4	0	4
CD01250	730	455	667	407	450	369	408	467
CD01251	274	229	241	188	290	330	419	288
CD01252	5475	5438	3408	2520	2231	1770	1919	1860
CD01253	587	861	636	682	744	1118	1006	687
CD01254	7	1	2	9	12	12	7	1
CD01256	912	913	1859	1122	465	311	338	1252
CD01257	3	2	4	11	15	12	7	7
CD01258	187	1391	685	389	3	0	2	10
CD01259	1	1	21	407	6	58	0	0
CD01260	47	337	967	555	59	361	35	71
CD01261	333	650	331	582	184	299	324	167
CD01262	7	0	0	8	3	12	2	0
CD01263	2415	2359	3386	4375	1093	656	878	7149
CD01265	820	876	834	1281	1502	660	860	4106
CD01266	8	2	102	49	44	43	42	10
CD01269	13	20	62	93	65	23	53	204
CD01270	324	298	261	302	480	586	542	288
CD01271	2268	3409	4192	2492	231	159	209	2629
CD01272	1346	1401	1376	1332	1555	854	1298	1241
CD01273	23	30	22	35	15	4	16	23
CD01274	5409	5197	4175	8658	13813	20766	16117	6019
CD01275	129	196	491	570	59	39	44	1492
CD01276	122	114	154	108	118	113	130	95
CD01277	2785	3663	4915	2286	3605	3187	3928	2962
CD01278	821	630	410	423	536	520	827	480
CD01279	2927	4830	3738	2111	1979	1436	1717	2066
CD01280	442	379	948	642	631	520	758	657
CD01281	1144	1194	905	571	702	939	883	716
CD01282	426	554	2022	599	178	89	151	477
CD01283	1	0	0	1	12	8	14	2
CD01284	13	24	44	27	12	12	5	0
CD01285	87	1	7	63	107	210	51	10
CD01286	7	12	41	45	6	4	0	1
CD01288	64	4	0	2	0	0	0	1
CD01289	1854	9354	2153	846	3	4	5	1
CD01290	62	5	0	1	0	0	0	1
CD01291	1300	17	0	16	0	0	0	0
CD01292	1038	71	1	15	0	0	0	0
CD01293	192	16	2	13	12	12	9	17
CD01297	45	12	52	14	0	0	0	42
CD01298	24	100	10	20	0	0	0	38
CD01300	4	1	4	1	0	0	0	6
CD01301	799	697	922	1567	4242	2818	4811	1576
CD01302	436	278	336	287	456	442	721	547
CD01303	347	156	121	129	213	505	304	64
CD01304	10	13	26	201	15	62	9	30
CD01305	701	508	749	462	747	990	735	408
CD01306	313	560	591	457	649	613	649	441
CD01307	556	361	219	170	95	62	81	136
CD01308	708	291	759	1541	2447	1688	2246	2029
CD01309	897	680	812	451	47	23	39	675
CD01310	4895	4645	2709	2429	2962	2259	3909	2915
CD01311	209	106	88	69	80	74	86	42
CD01312	1007	1010	1099	958	1315	1374	1437	542
CD01313	32	3	0	0	0	0	0	1
CD01314	6	0	0	0	0	0	0	0
CD01316	2	33	13	43	33	19	2	0
CD01317	317	113	10	12	0	4	0	0
CD01318	151	315	50	19	0	0	0	0
CD01320	6	3	0	1	0	0	0	0
CD01322	12	1	0	1	0	0	0	0
CD01323	100	7	2	3	0	0	0	0
CD01324	5	0	0	0	0	0	0	0
CD01325	58	0	0	0	0	8	0	0
CD01326	33	0	0	0	0	4	0	0
CD01327	10	2	1	2	0	0	0	0
CD01328	2465	67	1	65	0	0	0	0
CD01330	413	30	0	12	0	0	0	0
CD01331	76	6	0	1	0	4	0	0
CD01332	83	241	39	23	0	0	0	0
CD01333	63	9	1	1	0	0	0	0
CD01334	33	0	1	1	0	0	0	0
CD01335	9	3	1	3	0	0	0	0
CD01336	533	21	0	13	0	0	0	0
CD01339	0	0	1	14	0	4	0	0
CD01341	1	1	15	31	6	8	2	0
CD01342	0	0	0	12	3	4	0	1
CD01343	1	1	0	6	0	4	0	0
CD01344	2049	2210	1842	2410	939	772	876	2528
CD01345	345	194	123	2190	2779	1650	1963	5860
CD01346	1347	1916	1640	756	249	221	243	1396
CD01347	33	4	2	250	518	330	2436	1373
CD01348	26	1	0	3	0	4	7	3
CD01349	914	642	678	503	344	237	554	762
CD01350	378	351	314	263	566	780	533	183
CD01351	949	1012	2445	2657	714	450	533	2315
CD01352	170	195	252	247	234	144	209	283
CD01353	482	617	682	343	510	497	419	186
CD01354	1571	1359	1726	2767	9109	6963	8711	6308
CD01355	1784	2225	1624	2116	1822	2170	2989	1997
CD01356	716	68	31	576	557	279	406	443
CD01357	0	1	3	20	15	8	7	0
CD01358	302	564	469	320	447	1040	508	164
CD01359	53	30	265	900	2423	1619	881	1576
CD01360	43	45	46	43	98	105	153	53
CD01361	113631	12467	539	677	806	1595	1256	1069
